Ticker,Security,GICS.Sector,GICS.Sub.Industry,Market.Cap,,
RSG,Republic Services,Industrials,Environmental & Facilities Services,38261081664,,
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,1.32E+11,,
SBAC,SBA Communications,Real Estate,Specialized REITs,38367810000,,
SBUX,Starbucks,Consumer Discretionary,Restaurants,1.37E+11,,
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1.40E+11,,
SEE,Sealed Air,Materials,Paper Packaging,9096994032,,
SHW,Sherwin-Williams,Materials,Specialty Chemicals,80383620225,,
SIVB,SVB Financial,Financials,Regional Banks,32933996700,,
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,14400199601,,
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,39976025267,,
SNA,Snap-on,Industrials,Industrial Machinery,12401343787,,
SNPS,Synopsys,Information Technology,Application Software,44554922298,,
SO,Southern Company,Utilities,Electric Utilities,69586030000,,
SPG,Simon Property Group,Real Estate,Retail REITs,44304991557,,
SPGI,S&P Global,Financials,Financial Exchanges & Data,1.05E+11,,
SRE,Sempra Energy,Utilities,Multi-Utilities,42548899333,,
STE,Steris,Health Care,Health Care Equipment,21826258482,,
STT,State Street Corporation,Financials,Asset Management & Custody Banks,31320612658,,
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",20689121790,,
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,40704800000,,
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,32669012187,,
SWKS,Skyworks Solutions,Information Technology,Semiconductors,30198396414,,
SYF,Synchrony Financial,Financials,Consumer Finance,29516110371,,
SYK,Stryker Corporation,Health Care,Health Care Equipment,98942527194,,
SYY,Sysco,Consumer Staples,Food Distributors,40561435997,,
T,AT&T,Communication Services,Integrated Telecommunication Services,2.01E+11,,
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,10983420000,,
TDG,TransDigm Group,Industrials,Aerospace & Defense,33621337921,,
TDY,Teledyne Technologies,Industrials,Aerospace & Defense,21316907717,,
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,50117926320,,
TER,Teradyne,Information Technology,Semiconductor Equipment,19568296118,,
TFC,Truist Financial,Financials,Regional Banks,77320085675,,
TFX,Teleflex,Health Care,Health Care Equipment,16925630000,,
TGT,Target Corporation,Consumer Discretionary,General Merchandise Stores,1.30E+11,,
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,85527863430,,
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,2.14E+11,,
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,1.81E+11,,
TPR,Tapestry,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",12460783135,,
TRMB,Trimble,Information Technology,Electronic Equipment & Instruments,22241941060,,
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,48732429906,,
TRV,The Travelers Companies,Financials,Property & Casualty Insurance,38923387329,,
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,22127900000,,
TSLA,Tesla,Consumer Discretionary,Automobile Manufacturers,7.12E+11,,
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,29933981505,,
TT,Trane Technologies,Industrials,Building Products,45382073656,,
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,18796732156,,
TWTR,Twitter,Communication Services,Interactive Media & Services,51780052674,,
TXN,Texas Instruments,Information Technology,Semiconductors,1.74E+11,,
TXT,Textron,Industrials,Aerospace & Defense,16657930000,,
TYL,Tyler Technologies,Information Technology,Application Software,19442280028,,
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",11117810000,,
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",11117810000,,
UAL,United Airlines,Industrials,Airlines,15264852854,,
UDR,UDR,Real Estate,Residential REITs,15847171756,,
UHS,Universal Health Services,Health Care,Health Care Facilities,12356630000,,
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,20300817794,,
UNH,UnitedHealth Group,Health Care,Managed Health Care,3.84E+11,,
UNM,Unum Group,Financials,Life & Health Insurance,5569725600,,
UNP,Union Pacific,Industrials,Railroads,1.48E+11,,
UPS,United Parcel Service,Industrials,Air Freight & Logistics,1.69E+11,,
URI,United Rentals,Industrials,Trading Companies & Distributors,25778128854,,
USB,U.S. Bancorp,Financials,Diversified Banks,86711206155,,
V,Visa,Information Technology,Data Processing & Outsourced Services,4.94E+11,,
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",31670229476,,
VIAC,ViacomCBS,Communication Services,Movies & Entertainment,26026300000,,
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,27419785437,,
VMC,Vulcan Materials,Materials,Construction Materials,25238066226,,
VNO,Vornado Realty Trust,Real Estate,Office REITs,8214127104,,
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,30795356430,,
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,23370002788,,
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,50479578072,,
VTR,Ventas,Real Estate,Health Care REITs,21640161177,,
VTRS,Viatris,Health Care,Pharmaceuticals,18151442900,,
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,2.32E+11,,
WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks,16807975893,,
WAT,Waters Corporation,Health Care,Health Care Distributors,24719018422,,
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,42777946921,,
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",19389274983,,
WEC,WEC Energy Group,Utilities,Electric Utilities,30294329380,,
WELL,Welltower,Real Estate,Health Care REITs,35759376950,,
WFC,Wells Fargo,Financials,Diversified Banks,2.07E+11,,
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,14591102123,,
WLTW,Willis Towers Watson,Financials,Insurance Brokers,28554360000,,
WM,Waste Management,Industrials,Environmental & Facilities Services,63379610489,,
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,30349675820,,
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,4.18E+11,,
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,13136324950,,
WRK,WestRock,Materials,Paper Packaging,13732123723,,
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,31769580409,,
WU,Western Union,Information Technology,Data Processing & Outsourced Services,9150961464,,
WY,Weyerhaeuser,Real Estate,Specialized REITs,26141219160,,
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,11146381420,,
XEL,Xcel Energy,Utilities,Multi-Utilities,37152125400,,
XLNX,Xilinx,Information Technology,Semiconductors,36288736848,,
XOM,ExxonMobil,Energy,Integrated Oil & Gas,2.41E+11,,
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,12894490000,,
XYL,Xylem,Industrials,Industrial Machinery,23700442650,,
YUM,Yum! Brands,Consumer Discretionary,Restaurants,39567849327,,
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,30365408700,,
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,30210060129,,
ZION,Zions Bancorp,Financials,Regional Banks,9007878390,,
ZTS,Zoetis,Health Care,Pharmaceuticals,95149037592,,
